Name,Birthday,Outcome Type,Outcome Subtype,Animal Type,Sex,Breed,Color
,9/13/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black/White
,3/15/19,Euthanasia,Rabies Risk,Dog,Intact Male,Pit Bull,Brown Brindle/White
,8/31/15,Euthanasia,Rabies Risk,Other,Unknown,Bat Mix,Brown
,8/6/14,Euthanasia,Rabies Risk,Other,Unknown,Bat Mix,Black
,3/31/19,Euthanasia,Rabies Risk,Dog,Intact Male,German Shepherd,Black/Tan
Dexter,5/5/18,Transfer,Partner,Dog,Intact Male,Great Pyrenees/Labrador Retriever,White
Patches,12/9/09,Return to Owner,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
,3/31/19,Euthanasia,Rabies Risk,Dog,Intact Male,German Shepherd,Black/Tan
,5/26/14,Euthanasia,Rabies Risk,Other,Unknown,Bat Mix,Brown/Black
Kevin,4/25/17,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby
Tequila,10/11/09,Return to Owner,,Dog,Spayed Female,Pit Bull Mix,Red/White
Gecko,5/12/13,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby
Zoey,6/14/18,Adoption,,Dog,Spayed Female,Wire Hair Fox Terrier Mix,White/Black
*Lovey,7/15/14,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Tortie
Romeo Santos,4/30/17,Return to Owner,,Dog,Intact Male,Landseer,Black/White
Cesar,5/23/15,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White
Astro,12/28/16,Adoption,,Dog,Neutered Male,Norwich Terrier Mix,Black/Tan
Copper,5/16/07,Adoption,Foster,Dog,Neutered Male,Miniature Pinscher Mix,Red
,10/18/15,Adoption,Foster,Dog,Spayed Female,Boxer Mix,Red/White
,11/3/13,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White
Astro,12/28/16,Adoption,,Dog,Neutered Male,Norwich Terrier Mix,Black/Tan
Boris,3/3/13,Return to Owner,,Cat,Neutered Male,Domestic Medium Hair Mix,Orange Tabby/White
,3/30/14,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby
,6/9/14,Adoption,,Dog,Spayed Female,Catahoula/Pointer,Brown Merle/White
*Jerry,7/29/13,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White
Miami,9/16/17,Return to Owner,,Dog,Intact Male,English Pointer,White/Black
Debo,8/14/11,Return to Owner,,Dog,Intact Male,Pit Bull Mix,Red/White
*Marigold,10/7/15,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White
,3/1/14,Euthanasia,Rabies Risk,Other,Unknown,Bat,Brown/Black
,3/21/14,Adoption,,Dog,Spayed Female,Australian Cattle Dog Mix,Tricolor
Goowa,7/10/12,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,Apricot/Brown
*Nelson,2/22/15,Adoption,,Dog,Neutered Male,Pit Bull Mix,Brown/White
Walker,8/13/11,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,Black/White
,4/15/19,Transfer,Partner,Cat,Intact Male,Siamese Mix,Lilac Point
238 G,5/4/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Orange Tabby
Jasper,11/6/14,Adoption,,Dog,Neutered Male,Australian Cattle Dog Mix,Tan/White
*Jim,4/10/19,Transfer,Partner,Cat,Intact Male,Domestic Medium Hair,Blue/White
*Tiny,4/8/16,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White
*Laverne,4/5/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Torbie
*Shirley,4/5/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Black Tabby
*Bridget,2/11/16,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Torbie/Brown Tabby
,4/17/14,Transfer,Partner,Dog,Intact Female,Pit Bull Mix,Brown/White
*Pam,4/13/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Black
Penny,7/5/12,Adoption,,Dog,Spayed Female,German Shepherd Mix,Tan/Black
,9/3/14,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Blue Tabby
*Montana,5/13/15,Adoption,Foster,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White
Lareine,11/22/13,Adoption,,Dog,Spayed Female,Queensland Heeler/Pointer,Blue Tick
,4/15/19,Transfer,Partner,Cat,Intact Female,Siamese Mix,Tortie Point
Asher,10/14/16,Transfer,Partner,Dog,Neutered Male,Weimaraner,Blue
Peluchin,6/13/15,Transfer,Partner,Dog,Neutered Male,Miniature Poodle,White
Stella,4/20/11,Return to Owner,,Dog,Spayed Female,Pit Bull/Chow Chow,Tan/White
*Jake,5/27/10,Adoption,,Dog,Neutered Male,Pug Mix,Black/White
Bella,8/27/11,Euthanasia,Aggressive,Dog,Spayed Female,Pit Bull Mix,White/Brown
*Jordan,4/27/18,Adoption,,Other,Neutered Male,American Mix,White/Tan
Libby,6/26/18,Transfer,Partner,Dog,Intact Female,Doberman Pinsch Mix,Chocolate/Tan
Pumba,5/14/18,Return to Owner,,Cat,Neutered Male,Domestic Shorthair,Blue/White
Chucky,6/14/11,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown
Cash,9/4/12,Adoption,,Dog,Neutered Male,Boxer Mix,White/Brown Brindle
,11/18/14,Transfer,SCRP,Cat,Unknown,Siamese Mix,Lynx Point
,8/9/14,Transfer,Partner,Dog,Intact Female,Flat Coat Retriever/Pit Bull,Buff
Romeo Santos,4/30/17,Adoption,,Dog,Intact Male,Landseer,Black/White
Maxey,4/7/99,Return to Owner,,Cat,Spayed Female,Domestic Shorthair Mix,Torbie
Rye,11/20/06,Adoption,,Dog,Neutered Male,Mastiff Mix,Brown Brindle/White
,5/28/12,Transfer,Partner,Dog,Spayed Female,Cairn Terrier Mix,White/Buff
*Eleanor,3/6/13,Euthanasia,Suffering,Dog,Intact Female,Pit Bull Mix,Brown Brindle
Auburn,7/13/15,Adoption,,Dog,Spayed Female,Golden Retriever/Bearded Collie,Red/White
*Todd,8/11/13,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black
*Jack Frost,12/29/06,Adoption,,Dog,Neutered Male,American Eskimo Mix,Cream
,1/4/16,Adoption,,Dog,Spayed Female,Yorkshire Terrier Mix,Black/Brown
*Zakarin,4/20/16,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby
Apollo,9/12/12,Adoption,,Dog,Neutered Male,Australian Kelpie Mix,Black/Tan
,6/11/15,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Tortie
,10/2/13,Euthanasia,Rabies Risk,Other,Unknown,Bat Mix,Brown
*Thor,1/5/14,Adoption,,Dog,Neutered Male,Siberian Husky Mix,Black/White
Chispa,2/12/13,Adoption,,Dog,Neutered Male,Catahoula Mix,White/Tan
*Cinnamon,6/24/16,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Torbie
Haley,9/1/16,Return to Owner,,Dog,Intact Female,Chihuahua Shorthair Mix,White
,12/6/18,Transfer,Partner,Dog,Intact Female,Beagle/Black Mouth Cur,Tan/Black
334 G,5/1/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Black/White
*Joni,2/11/12,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Tortie
,1/9/15,Transfer,Partner,Other,Unknown,Rabbit Sh Mix,Black/White
323 G,5/1/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Black
,2/24/13,Transfer,Partner,Dog,Intact Female,Pit Bull Mix,White
Louie,12/7/15,Adoption,,Dog,Neutered Male,Dachshund Mix,Red/White
*Coconut,9/5/10,Adoption,,Dog,Spayed Female,Pit Bull Mix,Black/White
293 G,5/1/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Black/White
Blanco,4/12/16,Adoption,,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby
*Shorty,7/29/15,Adoption,,Dog,Neutered Male,Staffordshire/Basset Hound,Brown Brindle/White
Chato,3/12/15,Return to Owner,,Dog,Intact Male,Boxer,Black Brindle/White
*Cody,7/26/13,Adoption,,Dog,Neutered Male,Akita Mix,Sable
*Edmund,12/22/15,Return to Owner,,Dog,Neutered Male,Labrador Retriever Mix,Yellow
330 G,5/1/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Black/White
*Remington,11/19/13,Adoption,,Dog,Neutered Male,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle
Effie,11/26/14,Adoption,,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White
318 G,5/1/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Brown Tabby
Tobi,2/6/15,Return to Owner,,Dog,Spayed Female,Labrador Retriever/Pit Bull,Chocolate/Black
Rooster 11,2/14/15,Adoption,,Bird,Intact Male,Chicken Mix,Black/Red
316 G,5/1/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Black
*Jenny,11/19/13,Transfer,Partner,Dog,Intact Female,Pit Bull Mix,Fawn/White
Lily,8/7/13,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black/White
295 G,5/1/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Black/White
,5/14/17,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Orange Tabby
,11/19/14,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby
,5/16/19,Euthanasia,Medical,Cat,Unknown,Domestic Shorthair,White/Black
*Wink,8/10/18,Transfer,Partner,Dog,Intact Male,Pit Bull Mix,Black/White
*Thomas,3/31/16,Return to Owner,,Dog,Intact Male,Pit Bull Mix,Black/White
Keylow,2/15/14,Adoption,,Dog,Neutered Male,Miniature Poodle Mix,White
,3/7/19,Adoption,Foster,Dog,Neutered Male,Rottweiler,Black/Tan
Bochy,1/11/13,Adoption,,Dog,Neutered Male,Flat Coat Retriever Mix,Black/White
*Nym,5/7/17,Adoption,,Dog,Spayed Female,Alaskan Husky Mix,White
Azul,3/3/13,Transfer,Partner,Dog,Intact Male,Pit Bull Mix,Blue/White
,10/7/14,Euthanasia,Suffering,Cat,Unknown,Domestic Shorthair Mix,Black
*Tic,4/6/15,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White
Davy,8/12/13,Return to Owner,,Cat,Neutered Male,Domestic Shorthair Mix,Black
J.D.,9/5/09,Transfer,Partner,Dog,Neutered Male,Labrador Retriever Mix,Chocolate
*Gracie,6/23/15,Adoption,,Cat,Spayed Female,Domestic Medium Hair Mix,Calico
Wilson,1/28/13,Transfer,Partner,Dog,Neutered Male,Labrador Retriever,Tan/White
Sam,1/30/12,Adoption,,Dog,Intact Male,Miniature Poodle/Miniature Schnauzer,Buff
*Noodles,1/10/16,Adoption,,Dog,Neutered Male,Jack Russell Terrier Mix,Black
,3/17/19,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Blue Tabby
,1/1/19,Transfer,Partner,Dog,Intact Female,Anatol Shepherd,Tan/Black
,5/10/17,Transfer,Partner,Dog,Intact Female,German Shepherd,Black/Tan
,9/4/14,Transfer,SCRP,Cat,Spayed Female,Domestic Medium Hair Mix,Brown Tabby/White
Theodore,12/24/12,Return to Owner,,Dog,Intact Male,Australian Cattle Dog/Labrador Retriever,Tan/White
*Miklos,1/11/19,Transfer,Partner,Dog,Intact Male,Vizsla Mix,Brown
,8/20/15,Died,In Kennel,Other,Unknown,Bat,Brown/Black
Gigi,12/30/13,Adoption,,Dog,Spayed Female,Boston Terrier Mix,Black/White
Maddie,1/11/15,Return to Owner,,Dog,Spayed Female,Pit Bull,Blue/White
Negra,1/30/13,Return to Owner,,Dog,Spayed Female,Dachshund Wirehair Mix,Black/White
*Bindi,12/11/18,Transfer,Partner,Dog,Intact Male,Boxer Mix,Brown Brindle
Sam,1/4/15,Adoption,,Dog,Neutered Male,American Foxhound Mix,White/Black
Stella,10/16/18,Adoption,,Dog,Spayed Female,Pit Bull Mix,Black/White
Maunster,10/19/14,Adoption,Foster,Dog,Neutered Male,German Shepherd/Labrador Retriever,Tan
,1/1/19,Transfer,Partner,Dog,Intact Female,Anatol Shepherd,Red/Black
Nikko,7/2/11,Adoption,,Dog,Neutered Male,Miniature Schnauzer Mix,Tan/Gray
Parker,3/2/14,Adoption,,Dog,Spayed Female,Cardigan Welsh Corgi Mix,Tricolor
Coco,10/1/14,Return to Owner,,Dog,Intact Female,Chihuahua Shorthair Mix,Black/Brown
Daisy,12/29/08,Return to Owner,,Dog,Spayed Female,Lhasa Apso Mix,Black
,2/6/15,Died,,Other,Unknown,Bat,Brown/Black
Shadow,6/27/12,Return to Owner,,Dog,Neutered Male,Pit Bull/Boxer,Chocolate/White
Tommy,9/19/16,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby
Rasgo,8/18/15,Adoption,,Dog,Neutered Male,Havanese Mix,Apricot
Lars,10/24/08,Transfer,Partner,Dog,Intact Male,Yorkshire Terrier Mix,Black/Brown
,7/8/14,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,White/Blue Tabby
*Claude,3/16/11,Adoption,,Dog,Neutered Male,American Bulldog Mix,White/Tan
,3/14/14,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Cream Tabby/White
,8/15/13,Died,,Other,Unknown,Bat Mix,Brown
,9/25/14,Euthanasia,Suffering,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White
,11/8/14,Adoption,Offsite,Dog,Spayed Female,Rottweiler/German Shepherd,Sable
,8/6/13,Transfer,Partner,Dog,Intact Male,Dachshund Mix,Tan
Tortilla,4/21/14,Adoption,,Cat,Intact Female,Siamese Mix,Tortie Point
Bear,5/7/12,Return to Owner,,Dog,Neutered Male,Golden Retriever/Chow Chow,Tan
*Davis,6/12/14,Adoption,,Dog,Neutered Male,Dachshund Mix,Brown/White
*Clementina,10/12/15,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black
Junebug,6/25/14,Adoption,Foster,Dog,Intact Female,Border Collie/Whippet,Black/White
,10/22/15,Transfer,SCRP,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby
,5/10/17,Adoption,,Dog,Spayed Female,Pointer,White/Brown
,5/1/16,Adoption,Foster,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown
*Scarlet,10/22/13,Return to Owner,,Dog,Spayed Female,Pit Bull Mix,Chocolate/White
Candy,6/3/13,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Red/White
Paddy,10/17/09,Transfer,Partner,Dog,Neutered Male,Dachshund Mix,Red/Buff
Dusty,10/15/02,Return to Owner,,Dog,Intact Male,Chow Chow Mix,Tan
Kallie,3/8/19,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico
*Aspen,4/3/14,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby
,3/6/19,Adoption,,Dog,Neutered Male,Standard Schnauzer Mix,Black/Tan
Cate,10/8/05,Return to Owner,,Dog,Spayed Female,German Shepherd Mix,Tan
,9/7/16,Transfer,Partner,Dog,Intact Female,Pit Bull Mix,White/Gray
*Chillon,4/1/15,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby
*Franz,8/10/15,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black
*Wendy,6/13/17,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White
*Charlie,10/26/15,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tricolor
*Rexx,1/7/15,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black/White
,6/16/14,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico
*Luke,5/9/18,Adoption,,Dog,Neutered Male,German Shepherd,Black/Tan
Koda,3/24/11,Return to Owner,,Dog,Neutered Male,Chow Chow Mix,Brown/White
,2/16/19,Transfer,Partner,Dog,Spayed Female,Miniature Schnauzer,Black
Homie,9/24/15,Adoption,,Dog,Neutered Male,Labrador Retriever/Australian Kelpie,Chocolate/White
,8/14/14,Euthanasia,Suffering,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby
,3/11/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Brown Tabby
,1/12/19,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Chocolate/Tan
Pinta,2/13/19,Adoption,Foster,Dog,Spayed Female,German Shepherd/Great Pyrenees,White/Black
*Wendall,8/12/14,Adoption,,Dog,Neutered Male,Miniature Pinscher Mix,Chocolate/Tan
Monster,1/14/14,Return to Owner,,Dog,Neutered Male,Chihuahua Shorthair,Tan/Black
*Simon,11/17/02,Adoption,,Dog,Neutered Male,Miniature Schnauzer Mix,Black/Brown Brindle
,5/9/12,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair/Rat Terrier,Tricolor
,7/17/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White
Samson,1/6/15,Return to Owner,,Dog,Intact Male,Golden Retriever Mix,Yellow
Oberon,10/16/12,Adoption,,Dog,Neutered Male,Anatol Shepherd Mix,Tan/White
,8/19/13,Adoption,,Dog,Spayed Female,Chihuahua Shorthair/Pug,Brown
Leah,5/5/13,Transfer,Partner,Dog,Spayed Female,German Shepherd Mix,Black/Tan
Coriander,4/15/15,Adoption,,Dog,Spayed Female,Australian Terrier/Standard Schnauzer,Sable/Tan
Bonnie,11/27/11,Adoption,,Dog,Spayed Female,Pit Bull Mix,Blue/White
Beau,8/2/13,Transfer,Partner,Dog,Intact Male,Greyhound,Tan/White
Caramel,4/26/14,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby
,9/10/13,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Black/White
Bruno,3/7/19,Adoption,,Dog,Neutered Male,Pit Bull/Chow Chow,Black Brindle
,3/28/15,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby
Negro,11/15/15,Return to Owner,,Dog,Intact Male,Doberman Pinsch,Black/Tan
Sheos,6/18/14,Return to Owner,,Dog,Neutered Male,German Shepherd/Chow Chow,Brown/Tan
Sherlock,1/3/03,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Silver Tabby
*Melvin,10/31/08,Transfer,Partner,Dog,Intact Male,Rat Terrier Mix,White/Black
Dezi,5/15/07,Euthanasia,Suffering,Cat,Spayed Female,Domestic Shorthair Mix,White/Brown Tabby
Jax,2/21/19,Adoption,,Dog,Neutered Male,Anatol Shepherd Mix,Tan
,7/15/16,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby
Freddie,10/30/13,Return to Owner,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White
,12/12/16,Transfer,Partner,Dog,Intact Male,Labrador Retriever/Pit Bull,Brown Brindle
,5/16/19,Transfer,Partner,Cat,Unknown,Domestic Shorthair,White/Black
,9/1/13,Euthanasia,Suffering,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby
,3/12/19,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black
Athena,8/10/11,Adoption,,Dog,Spayed Female,Rottweiler,Tricolor
,12/5/11,Transfer,Partner,Dog,Intact Female,Chihuahua Shorthair Mix,Brown/White
,5/1/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Orange Tabby/White
Baby Elic,12/14/12,Adoption,,Dog,Spayed Female,Border Collie Mix,White/Black
Shadow,3/2/15,Adoption,,Dog,Neutered Male,German Shepherd Mix,Sable
*Suzette,4/29/13,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Torbie
,5/4/16,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby
Zoey,6/14/18,Transfer,Partner,Dog,Spayed Female,Wire Hair Fox Terrier Mix,White/Black
,5/12/18,Transfer,Snr,Cat,Unknown,Domestic Shorthair,Brown Tabby
,5/12/17,Transfer,Partner,Dog,Neutered Male,Miniature Poodle,Black/Brown
Beaux,5/30/10,Return to Owner,,Dog,Neutered Male,Labrador Retriever Mix,Black
,11/11/17,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Brown Tabby
,5/12/18,Transfer,Snr,Cat,Intact Female,Domestic Medium Hair,White/Gray
Arwen,11/12/15,Return to Owner,,Dog,Spayed Female,Pit Bull Mix,Black Brindle/White
*Batman,5/5/18,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,Black
*Samson,10/31/10,Transfer,Partner,Dog,Intact Male,Pit Bull Mix,Black/White
Bella,5/11/11,Transfer,Partner,Other,Intact Female,Guinea Pig Mix,Brown/Orange
,7/8/14,Transfer,Partner,Other,Unknown,Rabbit Sh Mix,Black
Truffles,6/27/14,Adoption,,Cat,Spayed Female,Domestic Medium Hair Mix,Calico
Casper,4/13/18,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,White
,5/5/14,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black
*Max,11/21/14,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Red/White
,11/15/14,Euthanasia,Rabies Risk,Other,Unknown,Raccoon Mix,Gray/Black
Jorgie,8/12/16,Adoption,,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby/White
Bueller,9/4/10,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/Black
,1/31/16,Adoption,Foster,Dog,Neutered Male,Australian Cattle Dog,Black/White
Willow,5/10/17,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Black/White
,3/8/19,Euthanasia,Medical,Cat,Intact Female,Domestic Shorthair,Brown Tabby
King,4/14/13,Return to Owner,,Dog,Intact Male,American Staffordshire Terrier Mix,Blue/White
,5/11/17,Euthanasia,Suffering,Other,Intact Male,Coyote,Gray/Black
Gachupin,4/20/16,Died,In Kennel,Dog,Intact Male,Chihuahua Shorthair Mix,Red/White
Roger Roger,6/25/12,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,Blue/White
Money,5/9/00,Euthanasia,Suffering,Dog,Intact Male,Pit Bull Mix,Brown Brindle
Toto,2/20/12,Return to Owner,,Dog,Intact Male,Miniature Poodle/Bichon Frise,White/White
,5/11/17,Euthanasia,Suffering,Cat,Intact Male,Domestic Shorthair,Orange/White
,5/17/17,Euthanasia,Rabies Risk,Other,Unknown,Bat,Brown
Max,9/16/05,Euthanasia,Suffering,Dog,Neutered Male,Jack Russell Terrier Mix,Chocolate/White
,5/13/14,Transfer,Partner,Dog,Intact Female,Cairn Terrier,Yellow
Chiquita,3/18/12,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Sable/Black
Herbie,8/1/99,Adoption,,Dog,Intact Male,Chihuahua Shorthair Mix,Tan
Luna,1/10/18,Return to Owner,,Dog,Intact Female,German Shepherd Mix,White
,10/16/14,Adoption,,Dog,Neutered Male,Border Terrier Mix,Gray/White
,4/21/10,Euthanasia,Rabies Risk,Cat,Neutered Male,Domestic Shorthair Mix,Orange/White
,9/26/16,Transfer,Partner,Cat,Unknown,Domestic Medium Hair Mix,Black/White
